Gene	Direction_in_ABCs
Cdc20	up
Cdc42bpb	up
Cdc42ep2	up
Cdc42ep4	up
Cdc6	up
Cdca2	up
Cdca3	up
Cdca5	up
Cdca7l	up
Cdca8	up
Cdh17	up
Cdk1	up
Cdk10	down
Cdk11b	down
Cdk14	up
Cdk16	down
Cdkal1	down
Cdkn3	up
Cdt1	down
Cebpzos	down
Cenph	up
Cenpi	up
Cenpj	down
Cenpk	up
Cenpp	up
Cep250	down
Cep55	up
Cep85	down
Cep89	down
Cep95	down
Cers6	up
Cfp	up
Chchd10	down
Chchd5	down
Chchd7	down
Chd2	down
Chd3	down
Chd6	down
Chd7	down
Chek1	up
Cherp	down
Chkb	down
Chm	up
Chn2	up
Chpt1	up
Chrac1	down
Chrnb1	down
Chst1	up
Chst11	up
Chst7	up
Ciapin1	down
Cited2	down
Ciz1	down
Ckap2	up
Cks1b	up
Clasp2	up
Clasrp	down
Clcf1	down
Clec7a_1	up
Clic4	up
Clk2	down
Clk3	down
Clns1a	down
Clpp	down
Clstn1	up
Cluap1	down
Cmbl	up
Cmklr1	up
Cmpk1	up
Cmtm3	up
Cmtm4	up
Cmtm7	down
Cnksr3	up
Cnnm2	up
Cntrl	down
Coa5	up
Cog1	down
Cog8	down
Col14a1	down
Col4a3bp	down
Coq6	down
Coro2b	down
Cpd	up
Cpeb2	up
Cpeb4	up
Cpm	down
Cpne3	up
Cpox	up
Cpped1	up
Cpq	up
Creb3l2	up
Crebbp	down
Creg1	up
Creld2	up
Crim1	up
Crip1	down
Crip2	up
Crisp3	down
Crtc2	down
Cry2	down
Csf1r	up
Csf2ra	down
Csf2rb	down
Csf2rb2	down
Csf3r	up
Csgalnact2	up
Cst7	up
Cstf1	down
Cstf3	down
Ctdsp1	down
Ctdsp2	down
Ctdspl2	down
Ctps2	down
Ctsb	up
Ctsc	up
Ctsd	up
Ctsl	up
Cttn	up
Cttnbp2nl	up
Ctu2	down
Cxcl10	up
Cxcl9	up
Cxcr3	up
Cxcr5	down
Cxx1b	up
Cxxc1	down
Cxxc5	down
Cyfip1	up
Cystm1	up
Cyth1	down
Cyth2	down
D10Jhu81e	down
D15Ertd621e	up
D17H6S53E	down
D430019H16Rik	up
Daam1	up
Dapk2	up
Daxx	down
Dcaf15	down
Dclk2	down
Dclre1a	up
Dcp1b	down
Dcun1d1	down
Dcun1d2	down
Dcun1d3	down
Dcun1d4	down
Dcun1d5	down
Ddb2	down
Ddit3	down
Ddx11	down
Ddx23	down
Ddx25	down
Ddx26b	down
Ddx39b	down
Ddx41	down
Ddx49	down
Ddx54	down
Ddx55	down
Deaf1	down
Decr1	down
Dedd2	down
Def6	down
Def8	up
Dennd1c	down
Dennd2d	down
Depdc1b	up
Dgat1	down
Dgat2	up
Dgcr14	down
Dgkz	down
Dhdh	up
Dhfr	up
Dhodh	down
Dhps	down
Dhrs3	up
Dhx16	down
Dhx30	down
Dhx34	down
Dhx37	down
Dhx38	down
Dhx57	down
Diap2	up
Diap3	up
Dip2c	up
Dkk3	up
Dmpk	up
Dmxl2	up
Dnah8	down
Dnajb13	up
Dnajb14	up
Dnajb2	down
Dnajb9	up
Dnajc17	down
Dnajc3	up
Dnajc4	down
Dnal4	down
Dnase1l3	up
Dnm3	up
Dnttip1	down
Dnttip2	down
Dock4	up
Dock5	up
Dok3	down
Dph2	down
Dph7	down
Dpm3	down
Dpy19l1	up
Dpy19l4	up
Dr1	up
Dram1	up
Dram2	up
Drap1	down
Dse	up
Dstn	up
Dtd1	down
Dtl	up
Dus1l	down
Dus2	down
Dus3l	down
Dusp10	up
Dusp2	down
Dusp7	down
Dvl1	down
Dxo	down
Dync1h1	down
Dynll2	up
Dysf	up
E2f8	up
E4f1	down
Ear2	down
Ece1	up
Echdc1	up
Ect2	up
Efnb1	up
Egln2	down
Egr1	down
Eif2s3x	down
Eif5a2	up
Eif5b	down
Ell	down
Ell2	up
Elovl1	down
Emb	up
Emg1	down
Eml6	up
Emr1	up
Emr4	up
Enc1	up
Endov	down
Enpp2	up
Enpp4	up
Enthd2	down
Entpd1	up
Eogt	up
Epb4.1l1	up
Epb4.1l3	up
Epc1	down
Epm2a	down
Epn2	up
Epor	up
Eps8l1	down
Eral1	down
Erap1	up
Erbb2	up
Ergic1	up
Erlin2	up
Ermp1	up
Ern1	up
Esco2	up
Etv5	up
Etv6	up
Evi5l	down
Exosc1	down
Exosc10	down
Exosc5	down
Extl2	up
F11r	up
Faah	down
Fads1	up
Fah	up
Faim3	down
Fam160a2_2	down
Fam203a	down
Fam86	down
Fas	up
Fastk	down
Fau	down
Fbf1	down
Fblim1	up
Fbrs	down
Fbxl12	down
Fbxl19	down
Fbxl6	down
Fbxo9	down
Fbxw8	up
Fcgr1	down
Fcgr2b	down
Fcgr3	down
Fcgr4	down
Fcgrt	down
Fcho1	down
Fcho2	up
Fcna	up
Fcrl1	down
Fcrl5	up
Fgfr1op	down
Fggy	up
Fgl2	up
Fh1	down
Fibp	down
Fignl1	up
Fkbp4	down
Fktn	up
Fmnl1	down
Fmnl2	up
Fmnl3	down
Fmr1	up
Fnbp4	down
Fndc3a	up
Fndc3b	up
Fnip1	up
Fnta	down
Fntb	down
Foxj2	down
Foxn2	up
Foxo4	down
Fpgs	down
Fpr1	up
Frmd4a	up
Frmd4b	up
Frrs1	up
Fry	down
Fscn1	up
Fsd2	up
Ftl1	up
Fuca1	down
Fuca2	down
Fundc1	up
Fut4	up
Fut8	up
Fyb	up
Fzd7	up
G3bp2	up
G6pc3	down
Gaa	down
Gab2	up
Gabarapl1	up
Gadd45a	down
Galc	up
Galnt3	up
Galnt7	up
Galt	down
Gas6	up
Gas7	up
Gatm	up
Gba	down
Gba2	down
Gbe1	down
Gbp2	up
Gbp8	up
Gcat	up
Gch1	down
Gdf11	down
Gdi1	down
Gdpd1	up
Gdpd5	up
Gemin7	down
Gfpt1	up
Gfra2	up
Gga1	down
Gga2	down
Gga3	down
Ggt5	up
Git1	down
Glg1	up
Glipr1	up
Glrx	up
Gltp	up
Glul	up
Gm10505	down
Gm11131	down
Gm11974	down
Gm13157	up
Gm13994	up
Gm14548	up
Gm14698	up
Gm15448	up
Gm15800	down
Gm16710	up
Gm1965	up
Gm2619	up
Gm26809	up
Gm4944	up
Gm4951	up
Gm4955	down
Gm5150	up
Gm6377	up
Gm8186	down
Gm9825	down
Gmip	down
Gnal	down
Gnl1	down
Gnl2	down
Gnpda1	up
Gns	up
Golga1	down
Golga2	down
Golga3	down
Golga4	down
Golga5	down
Golga7	down
Golgb1	down
Golim4	up
Golph3	up
Gpank1	down
Gpatch11	down
Gpatch3	down
Gpatch4	down
Gpbp1l1	down
Gpc1	up
Gpd1	up
Gpm6b	up
Gpn1	down
Gpn2	down
Gpr141	up
Gpr157	up
Gpr160	up
Gpr55	up
Gpr65	up
Gps1	down
Gps2	down
Gpx3	up
Gramd1a	down
Gramd2	up
Grap	down
Grhpr	down
Grina	down
Gripap1	down
Grk5	up
Grk6	down
Grn	up
Grwd1	down
Gsap	up
Gsdmd	down
Gsn	down
Gsr	up
Gsto1	up
Gtf2ird1	up
Gtf2ird2	down
Gtf3c6	down
Gtpbp2	down
Gtpbp3	down
Gtpbp6	down
Gtse1	up
Gyk	up
Gzma	up
H2-Aa	down
H2-Ab1	down
H2-DMa	down
H2-DMb1	down
H2-DMb2	down
H2-K1	down
H2-Ke6	down
H2-Q5	down
H2-T10	down
Havcr1	up
Hcar2	up
Hdac10	down
Hdac5	down
Hdac7	down
Heatr6	down
Hebp1	up
Herpud1	down
Hes6	down
Hfe	up
Hgs	down
Hgsnat	up
Hhex	down
Hiatl1	up
Hid1	up
Hip1	up
Hip1r	down
Hipk3	up
Hira	down
Hirip3	down
Hk2	up
Hk3	up
Hmg20b	down
Hmgn3	up
Hmha1	down
Hmmr	up
Hmox1	up
Hnrnph2	up
Hnrnpl	down
Homer1	up
Hopx	down
Hpcal1	up
Hpgd	up
Hpgds	up
Hpse	up
Hs3st2	up
Hsd11b1	up
Hsd17b10	down
Hsd17b12	up
Hsdl1	down
Hsf1	down
Hsh2d	down
Hsp90aa1	down
Hsp90b1	down
Hspa12a	up
I830077J02Rik	up
Icam2	down
Icosl	down
Id2	up
Id3	down
Ids	up
Ier2	down
Ier5	down
Ifi204	up
Ifi35	down
Ifi44	up
Ifih1	up
Ifitm2	up
Ifitm3	up
Igf1	up
Igha	up
Ighg1	up
Ighg2b	up
Ighg2c	up
Ighm	up
Ighmbp2	down
Ighv10-1	up
Ighv1-12	up
Ighv1-15	up
Ighv1-18	up
Ighv1-19	up
Ighv1-20	up
Ighv1-22	up
Ighv1-26	up
Ighv1-36	up
Ighv1-4	up
Ighv14-1	up
Ighv14-3	up
Ighv1-50	up
Ighv1-52	up
Ighv1-54	up
Ighv1-55	up
Ighv1-59	up
Ighv1-63	up
Ighv1-64	up
Ighv1-69	up
Ighv1-7	up
Ighv1-72	up
Ighv1-75	up
Ighv1-76	up
Ighv1-80	up
Ighv1-81	up
Ighv1-82	up
Ighv1-85	up
Ighv1-9	up
Ighv2-2	up
Ighv2-3	up
Ighv2-6	up
Ighv2-9	up
Ighv2-9-1	up
Ighv3-6	up
Ighv4-1	up
Ighv5-17	up
Ighv5-6	up
Ighv5-9	up
Ighv6-3	up
Ighv6-6	up
Ighv7-1	up
Ighv7-3	up
Ighv8-12	up
Ighv8-8	up
Ighv9-4	up
Igj	up
Igkc	up
Igkv10-94	up
Igkv1-110	up
Igkv1-132	up
Igkv12-41	up
Igkv12-44	up
Igkv12-89	up
Igkv13-84	up
Igkv14-126	up
Igkv14-130	up
Igkv19-93_1	up
Igkv2-112	up
Igkv3-12	up
Igkv3-2	up
Igkv3-4	up
Igkv4-59	up
Igkv4-61	up
Igkv4-68	up
Igkv4-70	up
Igkv4-74	up
Igkv4-86	up
Igkv4-91	up
Igkv5-39	up
Igkv5-48	up
Igkv6-15	up
Igkv6-32	up
Igkv8-28	up
Igkv8-30	up
Igkv9-129	up
Iglv1	up
Ikbkb	down
Il12a	down
Il18	up
Il18bp	up
Il1rap	up
Il4i1	down
Il6st	up
Il9r	up
Ilkap	down
Impad1	up
Impdh1	down
Inadl	down
Ino80	down
Inpp5a	down
Ints1	down
Ints2	up
Ip6k1	down
Ip6k2	down
Ipo11	up
Ipo13	down
Ipo7	up
Iqce	down
Iqgap2	up
Iqgap3	up
Iqsec1	down
Irak2	down
Irak3	down
Irf3	down
Irf5	down
Isoc1	up
Itfg3	up
Itga2	up
Itga9	up
Itgam	up
Itgav	up
Itgax	up
Itgb1	up
Itgb2	up
Itgb5	up
Itgb7	down
Itm2b	up
Itm2c	up
Itpk1	down
Itpkb	down
Itpkc	down
Itpr1	down
Itpr2	down
Itpr3	down
Itpripl1	down
Itpripl2	down
Jakmip1	down
Jdp2	up
Jmjd6	down
Jup	up
Kansl2	down
Kansl3	down
Kat2a	down
Kat8	down
Kcna2	down
Kcnab2	down
Kcnb1	down
Kcnj1	down
Kcnj10	down
Kcnj16	down
Kcnj2	down
Kcnk13	down
Kcnk5	down
Kcnk6	down
Kcnn4	down
Kcnq5	down
Kctd12b	up
Kctd14	down
Kctd17	up
Kctd2	down
Kctd21	up
Kctd3	down
Kdelc2	up
Kdm4b	down
Kdm8	down
Khdrbs1	down
Kif11	up
Kif14	up
Kif15	up
Kif18a	up
Kif18b	up
Kif1b	up
Kif20a	up
Kif21b	down
Kif22	up
Kif23	up
Kif2c	up
Kifc1	up
Kifc3	up
Kitl	up
Klc2	down
Klc4	down
Klf10	up
Klhl17	down
Klhl28	up
Klhl7	up
Klhl9	up
Klra1	down
Klra2	down
Klra3	down
Kmt2a	down
Kmt2b	down
Kmt2d	down
Kntc1	up
Kpna2	up
Kri1	down
Krr1	down
Krt222	up
l7Rn6	down
Lacc1	up
Lace1	down
Lag3	up
Lair1	up
Lamp1	up
Lamp2	up
Lancl2	up
Lap3	up
Laptm4b	up
Large	up
Lck	down
Lcorl	up
Lcp2	up
Ldb1	down
Ldlrad4	up
Lemd2	down
Leng1	down
Leng9	down
Leprot	up
Lgals1	down
Lgals3	down
Lgals8	down
Lgals9	down
Lgmn	up
Lig1	down
Lig3	down
Lig4	down
Lilra5	down
Lilra6	down
Lilrb4	up
Lima1	up
Limd2	down
Limk2	down
Lims1	up
Lin37	down
Lin7c	up
Lins	down
Lipa	up
Litaf	up
Llgl2	down
Lman1	down
Lmbr1l	down
Lmbrd2	up
Lmnb1	up
Lmo2	down
Lmo7	up
Lnpep	up
Lonrf1	up
Lpar5	up
Lpcat2	up
Lphn2	up
Lpin1	up
Lpin2	up
Lpl	up
Lrch3	up
Lrch4	down
Lrp1	up
Lrp12	up
Lrp4	up
Lrp5	up
Lrrc25	up
Lrrc42	down
Lrrc45	down
Lsg1	down
Lsm14b	down
Lst1	up
Lta	down
Ltb	down
Ltbr	up
Luzp1	up
Ly75	up
Ly96	up
Lyl1	down
Lypla1	up
Lysmd2	down
Lysmd3	down
Lysmd4	down
Lyz2	up
Macf1	down
Macrod1	down
Mad2l1	up
Maf	up
Mag	up
Maged1	down
Magee1	down
Magt1	up
Manba	down
Manbal	down
Map2k2	down
Map3k11	down
Map3k14	down
Map3k8	down
Map4k2	down
Mapk11	down
Mapk1ip1	down
Mapk8ip3	down
Mapkapk5	down
Mapre1	down
Mapre2	down
Mapre3	down
March6	up
March8	up
Marcks	up
Marco	up
Mark3	down
Marveld1	up
Marveld2	down
Mast2	down
Mast3	down
Matn2	up
Mau2	down
Mbd3	down
Mbd6	down
Mcfd2	up
Mcm10	up
Mcrs1	down
Mdfic	up
Mdm4	down
Mdn1	down
Me2	down
Mea1	down
Med11	down
Med29	down
Med31	down
Mef2a	up
Megf10	up
