"","Cluster","group","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"20","AM14 MRLlpr","AM14 MRLlpr","GO:0016493","C-C chemokine receptor activity","4/267","24/28409",0.166666666666667,17.7334581772784,7.98813425105672,6.99002562246947e-05,0.00188730691806676,0.0015046949892579,"12771/59289/12767/23832",4
"21","AM14 MRLlpr","AM14 MRLlpr","GO:0033550","MAP kinase tyrosine phosphatase activity","3/267","10/28409",0.3,31.9202247191011,9.52553986031787,9.38127288103046e-05,0.00232155480041005,0.00185090821319242,"19252/13537/70686",3
"22","AM14 MRLlpr","AM14 MRLlpr","GO:0001664","G protein-coupled receptor binding","12/267","338/28409",0.0355029585798817,3.77754138687587,5.00366733106897,9.4581862238928e-05,0.00232155480041005,0.00185090821319242,"20307/66102/20305/20303/238871/13618/17329/11535/11555/56066/15511/193740",12
"23","AM14 MRLlpr","AM14 MRLlpr","GO:0008330","protein tyrosine/threonine phosphatase activity","3/267","11/28409",0.272727272727273,29.0183861082737,9.05303213438083,0.000128096161481372,0.00300747509564961,0.0023977725421456,"19252/13537/70686",3
"24","AM14 MRLlpr","AM14 MRLlpr","GO:0042379","chemokine receptor binding","6/267","89/28409",0.0674157303370786,7.17308420653958,5.6813175066017,0.00019718564738282,0.00443667706611345,0.00353723376226199,"20307/66102/20305/20303/17329/56066",6
"25","AM14 MRLlpr","AM14 MRLlpr","GO:0017017","MAP kinase tyrosine/serine/threonine phosphatase activity","3/267","13/28409",0.230769230769231,24.5540190146932,8.27383002606206,0.000218960400246192,0.00454763908203629,0.00362570055468391,"19252/13537/70686",3
"26","AM14 MRLlpr","AM14 MRLlpr","GO:0030550","acetylcholine receptor inhibitor activity","3/267","13/28409",0.230769230769231,24.5540190146932,8.27383002606206,0.000218960400246192,0.00454763908203629,0.00362570055468391,"100041546/57248/17067",3
"27","AM14 MRLlpr","AM14 MRLlpr","GO:0004857","enzyme inhibitor activity","13/267","430/28409",0.0302325581395349,3.21676683215748,4.51166276099979,0.000238977193002505,0.0047795438600501,0.00381059149855846,"20568/20716/20732/13010/14469/12703/20715/20708/20723/12702/238393/100034251/12268",13
"28","AM14 MRLlpr","AM14 MRLlpr","GO:0005537","D-mannose binding","4/267","33/28409",0.121212121212121,12.8970604925661,6.66069478055752,0.000251875822788172,0.00485760515377188,0.0038728275007655,"56620/17533/73149/269799",4
"29","AM14 MRLlpr","AM14 MRLlpr","GO:0031625","ubiquitin protein ligase binding","11/267","329/28409",0.033434650455927,3.55747185319263,4.5447368417092,0.000308092772563736,0.00544402642842799,0.00434036415054005,"12709/381308/59126/72828/13654/18671/12767/16476/226695/15511/193740",11
"30","AM14 MRLlpr","AM14 MRLlpr","GO:0051019","mitogen-activated protein kinase binding","4/267","35/28409",0.114285714285714,12.1600856072766,6.43486954730093,0.000317576330563061,0.00544402642842799,0.00434036415054005,"19252/19271/13537/70686",4
"31","AM14 MRLlpr","AM14 MRLlpr","GO:0038187","pattern recognition receptor activity","5/267","63/28409",0.0793650793650794,8.4445038939421,5.7618059234576,0.000318192138367996,0.00544402642842799,0.00434036415054005,"12491/56620/69810/73149/269799",5
